AGENCIA,ENVIO,STATUS,MONTO,FECHA,FECHAPAGO,FECHAENTRADAPAGO
A00005,386911,T,100,12/09/2018,12/10/2018,12/10/2018
A00104,195397,T,58,12/10/2018,12/12/2018,01/22/2019
E01734,76606,T,100,12/08/2018,12/26/2018,01/22/2019
A01345,57185,C,100,12/08/2018,12/14/2018,12/14/2018
AX2205,96061,C,100,12/08/2018,12/09/2018,12/09/2018
A00009,353123,T,127,12/12/2018,12/26/2018,02/07/2019
A03245,14399,T,50,12/11/2018,12/11/2018,12/11/2018
T00001,91234,C,490,12/07/2018,12/07/2018,12/07/2018
A03258,42682,T,100,12/20/2018,12/21/2018,02/05/2019
A00123,96331,T,398.8036,12/21/2018,12/22/2018,02/01/2019
A00104,196259,T,400,12/18/2018,12/21/2018,02/05/2019
AX2435,13972,T,1000,12/21/2018,12/22/2018,02/05/2019
A00005,388876,T,100,12/21/2018,12/21/2018,02/05/2019
A03741,7598,T,80,12/22/2018,12/22/2018,02/05/2019
A01360,55276,T,180,12/20/2018,12/23/2018,02/05/2019
A00115,114145,T,60,12/20/2018,12/21/2018,02/01/2019
A02657,96425,T,100,12/20/2018,12/21/2018,02/05/2019
E01659,183789,T,50,12/23/2018,12/23/2018,02/08/2019
F01498,71781,T,75,12/22/2018,12/22/2018,02/02/2019
C01003,101101,T,80,12/22/2018,12/22/2018,02/01/2019
R00001,438436,T,300,12/20/2018,12/21/2018,02/01/2019
A00094,121300,T,240,12/23/2018,12/24/2018,02/20/2019
A00042,310234,T,1000,12/27/2018,12/31/2018,12/31/2018
A00136,91469,T,150,12/27/2018,12/27/2018,02/01/2019
A03295,41328,T,250,12/28/2018,12/30/2018,02/06/2019
A03518,4103,T,30,12/29/2018,12/31/2018,02/07/2019
A02949,75051,T,100,12/28/2018,12/30/2018,02/06/2019
T00001,91858,C,989,12/26/2018,12/26/2018,12/26/2018
R00001,440778,T,120,12/29/2018,12/30/2018,02/06/2019
R01033,27808,T,20,12/29/2018,12/30/2018,02/06/2019
E01734,76969,T,126,12/22/2018,12/26/2018,01/22/2019
R01425,4689,T,200,12/22/2018,12/22/2018,02/05/2019
EX1585,30061,T,145,12/29/2018,12/30/2018,02/07/2019
E01479,463759,T,40,12/20/2018,12/21/2018,02/01/2019
E01850,80879,T,200,12/23/2018,12/23/2018,02/07/2019
A03066,26907,T,113.7656,12/20/2018,12/12/2018,01/22/2019
R01443,3413,T,40,12/29/2018,12/30/2018,02/06/2019
A00044,206478,T,45,12/29/2018,12/30/2018,02/01/2019
A02926,49193,T,100,12/29/2018,12/30/2018,02/06/2019
A00137,142161,T,600,12/29/2018,12/30/2018,02/07/2019
R01425,4898,T,1500,12/29/2018,12/30/2018,02/07/2019
AX1080,124923,T,341.9048,12/21/2018,12/26/2018,01/22/2019
A03249,25807,T,200,12/29/2018,12/30/2018,02/01/2019
AX1817,38173,T,200,12/29/2018,12/30/2018,02/07/2019
A02657,96812,T,200,12/29/2018,12/30/2018,02/07/2019
AX1846,16884,T,100,12/29/2018,12/30/2018,02/07/2019
